ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Join_year,Join_month,Join_weekday,Minorhome,Total_Mnt,Total_num_purchase,Total_accept,AOV
1994,1983,Graduation,Married,51381.5,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2013,11,4,1,19,11,0,1.7272727272727273
5255,1986,Graduation,Single,51381.5,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,2013,2,2,1,637,28,0,22.75
7281,1959,PhD,Single,51381.5,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,2013,11,1,0,186,11,0,16.90909090909091
7244,1951,Graduation,Single,51381.5,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,2014,1,2,3,124,16,0,7.75
8557,1982,Graduation,Single,51381.5,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,2013,6,0,1,46,13,0,3.5384615384615383
10629,1973,2n Cycle,Married,51381.5,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,2012,9,4,1,109,17,0,6.411764705882353
8996,1957,PhD,Married,51381.5,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0,2012,11,0,3,603,38,0,15.868421052631579
9235,1957,Graduation,Single,51381.5,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2014,5,1,2,18,11,0,1.6363636363636365
5798,1973,Master,Together,51381.5,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0,2013,11,5,0,985,16,0,61.5625
8268,1961,PhD,Married,51381.5,0,1,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,3,11,0,2013,7,3,1,404,23,0,17.565217391304348
1295,1963,Graduation,Married,51381.5,0,1,2013-08-11,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,3,11,0,2013,8,6,1,725,23,0,31.52173913043478
2437,1989,Graduation,Married,51381.5,0,0,2013-06-03,69,861,138,461,60,30,61,1,6,5,12,3,0,1,0,1,0,0,3,11,0,2013,6,0,0,1611,27,2,59.666666666666664
2863,1970,Graduation,Single,51381.5,1,2,2013-08-23,67,738,20,172,52,50,20,6,2,3,10,7,0,1,0,1,0,0,3,11,0,2013,8,4,3,1052,28,2,37.57142857142857
